12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
676  ,11.2589  ,19.8572  ,43.8794  ,2.61332e+01
6007  ,4.6089  ,20.6718  ,36.534  ,2.61331e+01
7508  ,11.6089  ,20.8043  ,26.932  ,2.61331e+01
1313  ,8.98768  ,21.5534  ,36.2714  ,2.61330e+01
6989  ,19.6589  ,19.8572  ,29.511  ,2.61329e+01
6960  ,19.6589  ,19.8572  ,38.3531  ,2.61328e+01
5917  ,2.8589  ,19.8572  ,29.511  ,2.61327e+01
5890  ,2.8589  ,19.8572  ,38.3531  ,2.61327e+01
7250  ,15.4589  ,19.8572  ,25.0899  ,2.61326e+01
7193  ,15.4589  ,19.8572  ,42.7741  ,2.61325e+01
6185  ,7.0589  ,19.8572  ,25.0899  ,2.61324e+01
6126  ,7.0589  ,19.8572  ,42.7741  ,2.61324e+01
7082  ,17.5855  ,20.8618  ,35.7783  ,2.61323e+01
7446  ,10.1409  ,20.6347  ,41.425  ,2.61319e+01
6975  ,20.7089  ,19.8572  ,32.8268  ,2.61315e+01
6968  ,20.7089  ,19.8572  ,35.0373  ,2.61314e+01
6974  ,20.7089  ,19.8572  ,33.932  ,2.61314e+01
5896  ,1.8089  ,19.8572  ,33.932  ,2.61313e+01
5895  ,1.8089  ,19.8572  ,35.0373  ,2.61313e+01
5902  ,1.8089  ,19.8572  ,32.8268  ,2.61313e+01
7353  ,14.0394  ,20.9697  ,28.0519  ,2.61313e+01
1028  ,7.82437  ,21.0905  ,38.6653  ,2.61309e+01
